epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
163,404.911,0.47894,0.31726,0.96474,0.90974,0.95864,0.94945,0.67769,0.92966,0.47029,1.22084,0.000775822,0.000775822,0.000775822
164,407.419,0.46537,0.29555,0.96149,0.907,0.95831,0.95229,0.6913,0.91582,0.47647,1.20767,0.000770321,0.000770321,0.000770321
165,409.888,0.45863,0.30957,0.95889,0.90345,0.94479,0.95595,0.69535,0.94804,0.50503,1.23842,0.00076482,0.00076482,0.00076482
166,412.383,0.46093,0.31312,0.95524,0.91745,0.93288,0.95533,0.67943,0.96202,0.49598,1.24671,0.000759318,0.000759318,0.000759318
167,414.835,0.4705,0.31226,0.97496,0.93094,0.94194,0.94708,0.68068,0.93931,0.47156,1.21875,0.000753817,0.000753817,0.000753817
168,417.321,0.45188,0.29915,0.96394,0.95524,0.95948,0.95032,0.67601,0.94024,0.44621,1.23481,0.000748316,0.000748316,0.000748316
169,419.806,0.45123,0.29686,0.96109,0.93698,0.95195,0.94886,0.69059,0.91888,0.47632,1.21117,0.000742815,0.000742815,0.000742815
170,422.261,0.44452,0.29272,0.95593,0.93477,0.95338,0.95168,0.68787,0.93783,0.48479,1.23005,0.000737314,0.000737314,0.000737314
171,424.739,0.43497,0.2925,0.95661,0.90691,0.94333,0.93799,0.69719,0.93497,0.46317,1.2318,0.000731813,0.000731813,0.000731813
172,427.208,0.44225,0.29631,0.96159,0.90289,0.95808,0.94784,0.69573,0.94313,0.46314,1.20807,0.000726312,0.000726312,0.000726312
173,429.698,0.44702,0.30553,0.96202,0.88963,0.95948,0.94902,0.6864,0.96079,0.47406,1.23824,0.000720811,0.000720811,0.000720811
174,432.167,0.43674,0.28678,0.96997,0.90322,0.95175,0.94585,0.66367,0.95802,0.5061,1.25143,0.00071531,0.00071531,0.00071531
175,434.628,0.45022,0.29604,0.94662,0.89039,0.94013,0.95143,0.66455,0.94627,0.49906,1.258,0.000709809,0.000709809,0.000709809
176,437.087,0.4693,0.30516,0.96739,0.88475,0.95544,0.95239,0.65594,0.94276,0.49305,1.26769,0.000704307,0.000704307,0.000704307
177,439.582,0.45829,0.2954,0.94966,0.87924,0.95765,0.94766,0.66889,0.94341,0.52138,1.25361,0.000698806,0.000698806,0.000698806
178,442.097,0.45301,0.28825,0.95706,0.88031,0.94967,0.94071,0.65922,0.96564,0.51383,1.28266,0.000693305,0.000693305,0.000693305
179,444.59,0.4446,0.28923,0.94838,0.88655,0.9531,0.94356,0.66729,0.95904,0.50928,1.27532,0.000687804,0.000687804,0.000687804
180,447.058,0.44246,0.28977,0.95681,0.89594,0.95948,0.9531,0.67224,0.96431,0.49223,1.26403,0.000682303,0.000682303,0.000682303
181,449.53,0.4584,0.29393,0.9516,0.93576,0.95071,0.95567,0.67041,0.94448,0.48311,1.24029,0.000676802,0.000676802,0.000676802
182,452.011,0.44973,0.29862,0.93954,0.9441,0.95275,0.95663,0.68081,0.95125,0.45515,1.2314,0.000671301,0.000671301,0.000671301
